name,year,citation,snippet,is_real,source,url
Kesavananda Bharati v. State of Kerala,1973,(1973) Supreme Court of India,"Integrated with over 4 crore judgments and laws — designed for legal practitioners, researchers, students and institutions",True,indiankanoon.org,https://indiankanoon.org/doc/257876/
Maneka Gandhi v. Union of India,1978,(1978) Supreme Court of India,"Integrated with over 4 crore judgments and laws — designed for legal practitioners, researchers, students and institutions",True,indiankanoon.org,https://indiankanoon.org/doc/1766147/
Vishaka v. State of Rajasthan,1997,"Equivalent citations: AIR 1997 SUPREME COURT 3011, 1997 AIR SCW 3043, 1997 LAB. I. C. 2890, 1997 CRILR(SC MAH GUJ) 749, 1997 LAB LR 991, (1997) 3 ALLCRILR 283, (1997) 2 CHANDCRIC 112, (1997) 24 CRILT 455, (1997) 7 JT 384 (SC), 1997 SCC(CRI) 932, (2013) 3 KANT LJ 546, 1998 (1) BLJR 228, 1998 BLJR 1 228, 1997 CRILR(SC&MP) 749, 1997 (5) SCALE 453, 1997 (6) SCC 241, (1997) 3 RECCRIR 187, 1997 CHANDLR(CIV&CRI) 25, (1997) 77 FACLR 297, (1997) 3 SCJ 584, (1997) 3 CURCRIR 126, (1997) 2 CORLA 321, (1997) 5 SCALE 453, (1997) 5 ANDH LT 14, (1997) 3 CRIMES 188, (1997) 2 MADLW(CRI) 604, (1997) 13 OCR 305, (1997) 2 EASTCRIC 574, (1997) 3 ALLCRILR 819, (1997) 3 RAJ LW 373, (1997) 7 SUPREME 323, (1997) WRITLR 823, (1998) 2 LAB LN 965","Integrated with over 4 crore judgments and laws — designed for legal practitioners, researchers, students and institutions",True,indiankanoon.org,https://indiankanoon.org/doc/1031794/
Mohd. Ahmed Khan v. Shah Bano Begum,1985,"Equivalent citations: 1985 AIR 945, 1985 SCR (3) 844, AIR 1985 SUPREME COURT 945, 1985 (2) SCC 556, 1985 ALLAPPCAS (CRI) 161, 1985 CURCRIJ 297, 1985 CRIAPPR(SC) 161, 1985 SCC(CRI) 245, 1985 BLT (REP) 225, (1985) 1 CRIMES 975, (1985) 2 RECCRIR 136, (1985) 1 DMC 474, (1985) EASTCRIC 337, (1985) 2 HINDULR 77, (1985) JAB LJ 489, (1985) MARRILJ 382, (1985) MATLR 202, (1985) ALLCRIR 327, (1985) ALL WC 557, (1985) SC CR R 294, 1985 (87) BOM LR 435","Integrated with over 4 crore judgments and laws — designed for legal practitioners, researchers, students and institutions",True,indiankanoon.org,https://indiankanoon.org/doc/823221/
M.C. Mehta v. Union of India,1987,(1987) Supreme Court of India,"Integrated with over 4 crore judgments and laws — designed for legal practitioners, researchers, students and institutions",True,indiankanoon.org,https://indiankanoon.org/doc/1823824/
Shreya Singhal v. Union of India,2015,"Equivalent citations: AIR 2015 SUPREME COURT 1523, 2015 AIR SCW 1989 AIR 2015 SC (CRIMINAL) 834, AIR 2015 SC (CRIMINAL) 834, 2015 AIR SCW 1989, (2015) 149 ALLINDCAS 224 (SC), AIR 2015 SC( CRI) 834, (2015) 3 MAD LJ 162, (2015) 1 UC 594, (2015) 2 BOMCR(CRI) 515, (2015) 2 CRILR(RAJ) 449, 2015 CALCRILR 3 748, 2015 CRILR(SC&MP) 449, (2015) 1 GUJ LH 741, (2015) 4 SCALE 1, (2015) 2 JLJR 161, (2015) 3 DLT(CRL) 192, (2015) 2 ALLCRILR 618, (2015) 218 DLT 370, (2015) 61 OCR 20, (2015) 2 ALD(CRL) 971, (2015) 2 CURCRIR 47, 2015 (5) SCC 1, (2015) 2 PAT LJR 138, (2015) 2 RECCRIR 403, 2015 CRILR(SC MAH GUJ) 449, 2015 (2) SCC (CRI) 449, 2015 (111) ALR SOC 2 (SC), 2015 (2) KLT SN 1 (SC)","Integrated with over 4 crore judgments and laws — designed for legal practitioners, researchers, students and institutions",True,indiankanoon.org,https://indiankanoon.org/doc/110813550/
Justice K.S. Puttaswamy v. Union of India,2017,"Equivalent citations: AIR 2017 SUPREME COURT 4161, (2017) 6 BOM CR 78, AIR 2017 SC (CIV) 2714, (2017) 3 KER LJ 17, 2017 (10) SCC 1, (2017) 124 ALL LR 877, (2017) 10 SCALE 1, (2017) 4 CURCC 87, (2017) 6 MAD LJ 267, (2017) 5 ALLMR 686 (SC), (2018) 1 RECCIVR 398, 2017 (178) AIC (SOC) 1 (SC), 242 (2017) DLT 9 (CN)(SC), 2017 (3) KCCR SN 255 (SC), 2017 (4) KLT SN 1 (KER)","Integrated with over 4 crore judgments and laws — designed for legal practitioners, researchers, students and institutions",True,indiankanoon.org,https://indiankanoon.org/doc/91938676/
Navtej Singh Johar v. Union of India,2018,"Equivalent citations: AIR 2018 SUPREME COURT 4321, AIR 2018 SC( CRI) 1169, (2018) 4 MAD LJ(CRI) 306, (2018) 4 BOMCR(CRI) 289, (2018) 10 SCALE 386, 2019 (1) SCC (CRI) 1, (2018) 4 CURCRIR 1, (2018) 105 ALLCRIC 258, (2018) 3 ALLCRIR 3234, (2018) 3 CRIMES 233, 2018 (10) SCC 1, 2018 (190) AIC (SOC) 1 (SC), 252 (2018) DLT 1 (CN)(SC), 2018 (3) KCCR SN 325 (SC), 2018 (4) KLT SN 1 (KER), AIRONLINE 2018 SC 146","Integrated with over 4 crore judgments and laws — designed for legal practitioners, researchers, students and institutions",True,indiankanoon.org,https://indiankanoon.org/doc/168671544/
Shayara Bano v. Union of India,2017,(2017) Supreme Court of India,"Integrated with over 4 crore judgments and laws — designed for legal practitioners, researchers, students and institutions",True,indiankanoon.org,https://indiankanoon.org/doc/132397788/
Indra Sawhney v. Union of India,1992,"Equivalent citations: AIR1993SC477, [1992]SUPP2SCR454, AIR 1993 SUPREME COURT 477, 1992 AIR SCW 3682, 1993 LAB IC 129, (1992) 6 JT 273 (SC), (1992) 6 JT 673.1 (SC), 1992 (3) SCC(SUPP) 217, 1992 (6) JT 273, (1993) 1 SCT 448, (1993) 1 SCJ 353","Integrated with over 4 crore judgments and laws — designed for legal practitioners, researchers, students and institutions",True,indiankanoon.org,https://indiankanoon.org/doc/1363234/
